Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Units Sold,Total Profit
Central America and the Caribbean,Jamaica,Meat,Online,L,03.02.2013,6017,344172.40
Europe,Bulgaria,Snacks,Online,H,03.11.2010,8215,452975.10
Asia,Kazakhstan,Household,Offline,H,7/29/2014,4641,769152.93
Sub-Saharan Africa,Rwanda,Clothes,Online,H,4/16/2012,615,45165.60
Central America and the Caribbean,Grenada,Cosmetics,Offline,C,1/31/2013,3484,605763.08
Central America and the Caribbean,Honduras,Office Supplies,Online,H,06.01.2016,7628,963035.00
Asia,Mongolia,Office Supplies,Online,M,3/27/2015,9459,1194198.75
Central America and the Caribbean,Belize,Meat,Offline,M,11/28/2014,2418,138309.60
North America,United States of America,Meat,Offline,H,4/22/2014,1979,113198.80
Sub-Saharan Africa,South Africa,Meat,Offline,C,2/21/2017,648,37065.60
Europe,Austria,Vegetables,Online,C,1/19/2013,2960,186864.80
Australia and Oceania,Marshall Islands,Snacks,Offline,C,09.02.2011,482,26577.48
Sub-Saharan Africa,Sierra Leone,Household,Offline,C,2/13/2016,6814,1129284.22
Europe,Romania,Meat,Offline,L,8/28/2011,2586,147919.20
Asia,Malaysia,Clothes,Offline,M,11/24/2014,457,33562.08
Europe,Hungary,Cosmetics,Offline,C,01.05.2017,122,21212.14
Australia and Oceania,New Zealand,Beverages,Offline,M,3/30/2010,3303,51724.98
Sub-Saharan Africa,Mozambique,Office Supplies,Offline,C,5/25/2014,8755,1105318.75
Sub-Saharan Africa,Namibia,Beverages,Offline,M,6/25/2012,7264,113754.24
Middle East and North Africa,Tunisia,Personal Care,Offline,M,1/30/2015,6649,166623.94
Middle East and North Africa,Somalia,Office Supplies,Online,L,02.11.2011,6756,852945.00
Europe,Denmark,Personal Care,Online,L,1/30/2017,4467,111943.02
Australia and Oceania,Solomon Islands,Beverages,Offline,L,09.03.2012,8693,136132.38
Australia and Oceania,Vanuatu,Vegetables,Online,H,9/26/2012,5375,339323.75
Asia,Singapore,Meat,Offline,C,6/13/2010,2488,142313.60
Europe,Luxembourg,Fruits,Online,C,06.04.2011,5036,12136.76
Australia and Oceania,Australia,Cereal,Online,M,10.06.2014,55,4872.45
Asia,Brunei,Household,Online,M,11.03.2016,1613,267322.49
Australia and Oceania,Papua New Guinea,Vegetables,Offline,C,02.10.2015,5809,366722.17
Europe,Romania,Personal Care,Online,M,11.12.2011,5772,144646.32
Asia,Kyrgyzstan,Personal Care,Offline,H,6/18/2010,6664,166999.84
Sub-Saharan Africa,Chad,Clothes,Online,H,7/18/2011,677,49718.88
Middle East and North Africa,Somalia,Cereal,Online,C,10/25/2016,2034,180192.06
Sub-Saharan Africa,Togo,Clothes,Offline,L,02.11.2010,1990,146145.60
Sub-Saharan Africa,Mali,Household,Online,L,3/17/2014,3832,635077.36
Europe,San Marino,Snacks,Online,M,04.11.2011,7877,434337.78
Europe,Croatia,Baby Food,Online,L,11.08.2014,6474,620597.64
Asia,Taiwan,Baby Food,Offline,H,1/16/2013,9002,862931.72
Central America and the Caribbean,Barbados,Meat,Offline,M,2/23/2010,6872,393078.40
Sub-Saharan Africa,Equatorial Guinea,Cosmetics,Offline,H,4/30/2015,8527,1482589.49
Central America and the Caribbean,Guatemala,Vegetables,Online,M,02.03.2016,4441,280360.33
Europe,United Kingdom,Household,Offline,L,05.12.2012,2119,351181.87
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,L,9/18/2012,1096,69190.48
Sub-Saharan Africa,Tanzania,Snacks,Offline,L,06.02.2015,7940,437811.60
Europe,Ukraine,Fruits,Offline,H,3/28/2012,1249,3010.09
North America,Canada,Snacks,Offline,M,12.09.2014,6655,366956.70
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,M,8/17/2013,1816,229270.00
Europe,Georgia,Fruits,Offline,L,11.02.2010,1427,3439.07
Europe,Poland,Cereal,Online,C,03.01.2010,2210,195783.90
North America,Mexico,Clothes,Online,C,6/27/2012,7921,581718.24
Australia and Oceania,Papua New Guinea,Baby Food,Online,M,03.05.2012,4346,416607.56
Europe,Ukraine,Meat,Offline,M,01.08.2016,4301,246017.20
Sub-Saharan Africa,Niger,Beverages,Offline,L,9/24/2016,2636,41279.76
Australia and Oceania,New Zealand,Household,Offline,H,11/16/2011,1231,204013.63
Sub-Saharan Africa,Nigeria,Cosmetics,Online,M,3/22/2015,3997,694958.39
Sub-Saharan Africa,Madagascar,Beverages,Offline,C,02.09.2015,1875,29362.50
Asia,Kazakhstan,Baby Food,Online,M,1/30/2016,7841,751638.26
Middle East and North Africa,Kuwait,Clothes,Online,C,5/20/2012,1897,139315.68
Sub-Saharan Africa,Gabon,Fruits,Offline,L,6/26/2014,6082,14657.62
Central America and the Caribbean,El Salvador,Personal Care,Online,C,12/21/2014,9462,237117.72
Europe,Sweden,Personal Care,Offline,M,1/28/2015,3135,78563.10
Sub-Saharan Africa,Angola,Vegetables,Online,L,4/24/2013,5232,330296.16
Asia,Sri Lanka,Office Supplies,Online,L,10/28/2016,5914,746642.50
Europe,Cyprus,Clothes,Online,C,11/22/2014,2372,174199.68
Central America and the Caribbean,Honduras,Snacks,Offline,M,01.04.2013,3832,211296.48
Sub-Saharan Africa,Ethiopia,Meat,Online,C,12.11.2013,6547,374488.40
Europe,Denmark,Beverages,Online,M,12/16/2013,8804,137870.64
Europe,Iceland,Household,Online,M,03.02.2014,5921,981287.33
Sub-Saharan Africa,Liberia,Cereal,Online,L,9/28/2016,5245,464654.55
Sub-Saharan Africa,South Africa,Meat,Online,H,7/29/2013,1156,66123.20
Sub-Saharan Africa,Mali,Beverages,Online,L,10.02.2012,67,1049.22
Middle East and North Africa,Egypt,Personal Care,Online,C,1/30/2012,5418,135775.08
Europe,Moldova,Meat,Offline,C,06.03.2010,2685,153582.00
Europe,Montenegro,Personal Care,Offline,H,6/28/2011,4371,109537.26
Australia and Oceania,Nauru,Household,Online,L,6/30/2012,5013,830804.49
Asia,Sri Lanka,Household,Offline,H,07.02.2015,6179,1024045.67
Australia and Oceania,Kiribati,Cosmetics,Offline,L,1/19/2016,1466,254893.42
Sub-Saharan Africa,Senegal,Baby Food,Online,C,7/21/2014,1505,144269.30
Middle East and North Africa,Iran,Office Supplies,Offline,M,6/23/2012,8956,1130695.00
Central America and the Caribbean,Grenada,Cosmetics,Online,M,2/20/2016,3513,610805.31
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,M,3/16/2010,6899,394622.80
Europe,Vatican City,Snacks,Offline,L,6/26/2014,7869,433896.66
Sub-Saharan Africa,South Sudan,Vegetables,Online,C,12/26/2011,7208,455041.04
Asia,North Korea,Vegetables,Offline,M,4/15/2013,2735,172660.55
Middle East and North Africa,Jordan,Household,Offline,L,11/22/2014,4298,712307.54
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,7/28/2010,8777,502044.40
Europe,Romania,Clothes,Offline,H,4/25/2010,5082,373222.08
Sub-Saharan Africa,Seychelles,Fruits,Online,M,10/24/2013,9157,22068.37
Sub-Saharan Africa,Gabon,Clothes,Offline,H,04.04.2014,8975,659124.00
Middle East and North Africa,Tunisia,Cereal,Offline,C,04.01.2017,9540,845148.60
Europe,France,Household,Offline,M,4/28/2014,7890,1307609.70
Europe,Montenegro,Fruits,Online,M,01.01.2017,8091,19499.31
Sub-Saharan Africa,Mali,Cosmetics,Offline,C,2/28/2015,6242,1085296.54
Asia,Taiwan,Snacks,Online,L,02.03.2011,5472,301726.08
Australia and Oceania,Fiji,Meat,Offline,M,9/25/2015,944,53996.80
Middle East and North Africa,Lebanon,Personal Care,Offline,M,7/29/2014,4849,121515.94
Sub-Saharan Africa,Guinea,Baby Food,Offline,H,11/23/2016,1412,135354.32
Sub-Saharan Africa,Sierra Leone,Baby Food,Online,H,02.08.2014,1886,180791.96
Central America and the Caribbean,Honduras,Office Supplies,Offline,M,10/30/2013,9558,1206697.50
North America,Greenland,Vegetables,Offline,M,5/22/2013,4745,299551.85
Asia,Indonesia,Meat,Offline,C,03.06.2011,9797,560388.40
Sub-Saharan Africa,Togo,Clothes,Offline,C,06.09.2010,4092,300516.48
Sub-Saharan Africa,Mauritius,Personal Care,Online,H,6/24/2015,9043,226617.58
Sub-Saharan Africa,Sierra Leone,Snacks,Offline,M,9/26/2012,3091,170437.74
Asia,Cambodia,Beverages,Online,C,06.10.2012,6710,105078.60
Central America and the Caribbean,Jamaica,Vegetables,Offline,L,07.09.2014,7405,467477.65
Australia and Oceania,Kiribati,Vegetables,Online,C,5/24/2012,4712,297468.56
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,L,11/29/2011,5198,328149.74
Asia,Tajikistan,Office Supplies,Online,M,5/28/2012,7463,942203.75
Europe,Netherlands,Beverages,Offline,M,07.02.2010,7136,111749.76
Europe,Iceland,Household,Offline,C,06.11.2011,1878,311240.94
Asia,Taiwan,Beverages,Offline,C,3/14/2010,6381,99926.46
Sub-Saharan Africa,Gabon,Fruits,Offline,L,05.12.2010,7369,17759.29
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,M,10/23/2012,8598,474093.72
North America,United States of America,Cereal,Online,L,11/30/2011,5852,518428.68
Sub-Saharan Africa,Rwanda,Snacks,Offline,M,6/18/2014,1950,107523.00
Europe,Cyprus,Household,Online,H,03.03.2013,1741,288535.93
Asia,Brunei,Cosmetics,Online,M,03.04.2013,7103,1234998.61
Sub-Saharan Africa,Seychelles,Personal Care,Offline,M,02.04.2013,1949,48841.94
Middle East and North Africa,Jordan,Office Supplies,Online,C,06.03.2016,7220,911525.00
Middle East and North Africa,Pakistan,Snacks,Online,M,7/20/2012,5890,324774.60
Central America and the Caribbean,Barbados,Fruits,Offline,C,11/15/2010,7965,19195.65
Sub-Saharan Africa,Comoros,Meat,Online,M,4/13/2014,5479,313398.80
Central America and the Caribbean,The Bahamas,Clothes,Online,L,5/15/2015,7501,550873.44
Sub-Saharan Africa,South Sudan,Baby Food,Online,H,5/13/2015,5130,491761.80
Sub-Saharan Africa,Nigeria,Cosmetics,Offline,M,10.10.2012,6494,1129111.78
Europe,Ukraine,Beverages,Offline,M,10.04.2014,1756,27498.96
Europe,France,Cosmetics,Online,C,08.02.2010,8108,1409737.96
Sub-Saharan Africa,Burundi,Office Supplies,Online,M,4/29/2013,4772,602465.00
Middle East and North Africa,Syria,Vegetables,Offline,H,08.07.2010,8005,505355.65
Sub-Saharan Africa,Botswana,Fruits,Online,L,10/25/2013,6092,14681.72
Australia and Oceania,Papua New Guinea,Snacks,Offline,H,07.07.2016,4351,239914.14
Asia,Kazakhstan,Cosmetics,Offline,M,4/20/2013,130,22603.10
Middle East and North Africa,Jordan,Clothes,Online,M,3/16/2011,7809,573492.96
Central America and the Caribbean,Dominican Republic,Personal Care,Online,H,9/30/2010,3800,95228.00
Sub-Saharan Africa,Namibia,Beverages,Online,C,4/19/2017,1544,24179.04
Europe,Hungary,Household,Online,H,7/31/2014,6516,1079896.68
Asia,Malaysia,Snacks,Offline,C,11/18/2013,1220,67270.80
Sub-Saharan Africa,Burundi,Cosmetics,Offline,L,5/30/2012,192,33383.04
Europe,Estonia,Clothes,Offline,C,3/24/2012,5000,367200.00
Asia,Malaysia,Beverages,Offline,L,6/15/2016,9242,144729.72
Europe,Bosnia and Herzegovina,Household,Offline,L,05.08.2010,3548,588010.04
Europe,Finland,Fruits,Online,L,07.12.2010,580,1397.80
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,9/26/2015,30,3787.50
North America,United States of America,Vegetables,Offline,C,8/21/2010,3621,228593.73
Europe,Austria,Meat,Offline,C,1/16/2015,108,6177.60
Australia and Oceania,Tonga,Cereal,Online,L,12/17/2011,278,24628.02
Sub-Saharan Africa,Zambia,Fruits,Offline,C,12/21/2011,1947,4692.27
Middle East and North Africa,Morocco,Baby Food,Online,C,7/27/2011,4965,475944.90
Europe,Monaco,Personal Care,Online,M,02.09.2012,6211,155647.66
Asia,Cambodia,Clothes,Online,H,12/31/2015,4597,337603.68
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,H,5/13/2015,6064,765580.00
Europe,Portugal,Fruits,Online,L,12/18/2010,8587,20694.67
Middle East and North Africa,Afghanistan,Cosmetics,Offline,M,12/23/2015,7170,1246647.90
Sub-Saharan Africa,Nigeria,Meat,Online,C,05.11.2014,8850,506220.00
Australia and Oceania,Kiribati,Cereal,Offline,C,1/23/2010,7693,681522.87
Sub-Saharan Africa,Comoros,Cosmetics,Offline,M,09.07.2015,9799,1703752.13
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,10/17/2010,8298,523852.74
Sub-Saharan Africa,Sierra Leone,Household,Online,C,11/25/2013,8349,1383679.77
Sub-Saharan Africa,The Gambia,Personal Care,Online,C,07.03.2010,2147,53803.82
Europe,Germany,Cereal,Online,C,06.12.2017,3914,346741.26
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,12/31/2010,4906,619382.50
Europe,Slovenia,Office Supplies,Offline,M,12.03.2013,8408,1061510.00
Sub-Saharan Africa,Benin,Cereal,Offline,L,12/22/2015,4738,419739.42
Sub-Saharan Africa,Mauritius,Cosmetics,Offline,M,7/18/2015,6245,1085818.15
Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,11/17/2015,2308,57838.48
Asia,Turkmenistan,Beverages,Online,M,9/15/2013,4338,67933.08
Asia,Kyrgyzstan,Clothes,Offline,C,8/14/2010,779,57209.76
Europe,Slovenia,Household,Online,C,11.02.2016,2103,348530.19
Sub-Saharan Africa,Lesotho,Cosmetics,Online,C,2/24/2017,5816,1011227.92
Middle East and North Africa,Jordan,Office Supplies,Offline,L,7/19/2012,1453,183441.25
Europe,France,Beverages,Offline,C,6/13/2016,5582,87414.12
Sub-Saharan Africa,Lesotho,Clothes,Online,H,1/17/2013,6802,499538.88
Europe,Malta,Cosmetics,Offline,L,02.08.2014,742,129011.54
Asia,Maldives,Cosmetics,Online,L,4/21/2017,5064,880477.68
Australia and Oceania,Marshall Islands,Clothes,Online,M,01.12.2010,4460,327542.40
Asia,Sri Lanka,Household,Online,L,01.12.2011,5653,936871.69
Asia,Laos,Baby Food,Offline,H,08.10.2013,2399,229968.14
Middle East and North Africa,Jordan,Vegetables,Online,H,2/16/2012,484,30554.92
Middle East and North Africa,Somalia,Office Supplies,Offline,M,5/19/2013,2725,344031.25
Sub-Saharan Africa,Sierra Leone,Household,Online,H,1/31/2010,3970,657948.10
Asia,Tajikistan,Snacks,Online,H,12.11.2014,6100,336354.00
Australia and Oceania,Marshall Islands,Cosmetics,Online,C,06.12.2011,3026,526130.62
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Online,H,8/21/2010,5689,989146.43
Europe,Romania,Beverages,Online,L,1/24/2017,7065,110637.90
Australia and Oceania,Tuvalu,Snacks,Online,C,5/29/2017,7157,394636.98
Sub-Saharan Africa,Equatorial Guinea,Beverages,Offline,L,7/21/2014,8001,125295.66
Central America and the Caribbean,Cuba,Cosmetics,Online,L,3/27/2016,8666,1506757.42
Europe,Bulgaria,Household,Online,H,2/14/2016,250,41432.50
Asia,Myanmar,Fruits,Online,M,9/18/2012,882,2125.62
Australia and Oceania,Solomon Islands,Household,Online,L,03.01.2013,724,119988.52
Europe,Montenegro,Snacks,Online,H,4/29/2014,6968,384215.52
Sub-Saharan Africa,Malawi,Cereal,Online,C,02.11.2014,8838,782958.42
Sub-Saharan Africa,Mali,Vegetables,Online,L,4/20/2015,2588,163380.44
Asia,Maldives,Snacks,Online,M,2/23/2014,6505,358685.70
Central America and the Caribbean,Nicaragua,Cosmetics,Offline,H,10.07.2011,5907,1027050.09
Europe,Germany,Meat,Offline,L,05.02.2010,8141,465665.20
Central America and the Caribbean,Belize,Fruits,Offline,C,11/18/2016,7588,18287.08
Europe,Montenegro,Meat,Offline,C,10/14/2016,658,37637.60
Central America and the Caribbean,Antigua and Barbuda,Office Supplies,Online,C,06.02.2015,795,100368.75
Europe,Ireland,Baby Food,Online,C,8/23/2011,3472,332825.92
Sub-Saharan Africa,Guinea,Fruits,Offline,L,9/30/2016,1193,2875.13
Europe,Russia,Beverages,Online,H,10/19/2012,8495,133031.70
Central America and the Caribbean,Nicaragua,Beverages,Online,L,01.01.2017,6946,108774.36
Middle East and North Africa,Yemen,Beverages,Offline,H,05.01.2017,143,2239.38
Sub-Saharan Africa,Mauritania,Meat,Online,M,03.12.2014,8717,498612.40
Central America and the Caribbean,Costa Rica,Vegetables,Offline,H,8/17/2016,5329,336419.77
Middle East and North Africa,Tunisia,Snacks,Online,H,10/22/2015,9671,533258.94
Europe,Montenegro,Vegetables,Online,L,7/19/2011,3467,218871.71
Asia,Taiwan,Vegetables,Online,H,1/29/2016,5472,345447.36
Middle East and North Africa,Azerbaijan,Beverages,Offline,L,5/29/2012,6472,101351.52
Sub-Saharan Africa,Niger,Vegetables,Offline,L,2/15/2011,4284,270448.92
Europe,Austria,Personal Care,Offline,M,4/16/2016,8757,219450.42
Asia,Maldives,Snacks,Offline,L,02.11.2014,6770,373297.80
Central America and the Caribbean,Nicaragua,Beverages,Offline,H,08.01.2014,7236,113315.76
Sub-Saharan Africa,Guinea-Bissau,Household,Offline,H,5/22/2017,6096,1010290.08
Middle East and North Africa,Saudi Arabia,Beverages,Online,L,9/19/2015,1324,20733.84
Asia,Singapore,Vegetables,Offline,H,03.05.2015,7925,500305.25
Europe,Latvia,Meat,Online,L,11.12.2014,2934,167824.80
Europe,Slovenia,Cereal,Offline,L,03.04.2011,421,37296.39
Sub-Saharan Africa,Botswana,Office Supplies,Online,H,09.05.2016,6482,818352.50
Central America and the Caribbean,Guatemala,Baby Food,Offline,L,12/20/2010,4248,407213.28
Sub-Saharan Africa,Seychelles,Baby Food,Online,L,7/18/2012,8879,851140.94
Europe,Ireland,Snacks,Offline,C,6/24/2014,2570,141709.80
Asia,Brunei,Office Supplies,Online,H,11/25/2010,9542,1204677.50
Australia and Oceania,Tuvalu,Baby Food,Offline,M,12.08.2015,1051,100748.86
Europe,Moldova,Personal Care,Online,C,6/28/2014,384,9623.04
Sub-Saharan Africa,Senegal,Baby Food,Offline,M,6/18/2011,7856,753076.16
Sub-Saharan Africa,Angola,Cereal,Online,M,10/24/2012,5818,515416.62
Central America and the Caribbean,Trinidad and Tobago,Household,Offline,C,3/21/2014,3648,604583.04
Europe,Ukraine,Office Supplies,Offline,C,5/30/2012,2759,348323.75
Europe,Croatia,Beverages,Offline,C,7/19/2016,1592,24930.72
Asia,India,Household,Online,H,2/19/2014,622,103084.06
Asia,Brunei,Cosmetics,Online,M,09.05.2012,7352,1278292.24
Europe,Ukraine,Clothes,Offline,C,03.04.2013,1319,96867.36
Middle East and North Africa,Egypt,Clothes,Online,M,11/20/2013,9091,667643.04
Europe,Ukraine,Vegetables,Online,H,2/28/2014,9265,584899.45
Europe,Romania,Household,Online,H,08.12.2010,7473,1238500.29
Sub-Saharan Africa,Nigeria,Clothes,Offline,C,1/25/2016,1375,100980.00
Sub-Saharan Africa,Namibia,Clothes,Online,H,05.05.2010,5664,415964.16
North America,Canada,Vegetables,Offline,C,03.05.2012,7062,445824.06
Europe,Moldova,Office Supplies,Online,H,11/17/2014,9326,1177407.50
Sub-Saharan Africa,Tanzania,Clothes,Online,L,10/23/2012,8241,605219.04
Sub-Saharan Africa,Cape Verde,Cereal,Offline,C,10.09.2012,6624,586820.16
Europe,San Marino,Snacks,Offline,H,1/17/2015,9324,514125.36
Europe,Belgium,Household,Offline,H,03.11.2017,8222,1362632.06
Asia,Myanmar,Beverages,Offline,C,04.08.2010,7228,113190.48
Middle East and North Africa,Egypt,Cereal,Online,C,11/24/2012,7284,645289.56
Sub-Saharan Africa,Guinea,Cosmetics,Online,H,6/25/2014,1364,237158.68
Europe,Serbia,Household,Offline,M,11.04.2016,9474,1570126.02
Sub-Saharan Africa,Mozambique,Meat,Online,C,4/19/2015,3649,208722.80
Sub-Saharan Africa,Benin,Snacks,Online,H,01.03.2010,2956,162993.84
Sub-Saharan Africa,Malawi,Meat,Offline,M,05.09.2017,8495,485914.00
Europe,Latvia,Meat,Online,C,2/15/2013,8394,480136.80
Europe,Switzerland,Personal Care,Online,H,1/17/2012,2816,70568.96
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,L,12/19/2010,8953,224362.18
Australia and Oceania,Tuvalu,Baby Food,Online,L,5/18/2015,6028,577844.08
Europe,Monaco,Personal Care,Offline,L,11/25/2012,296,7417.76
North America,United States of America,Personal Care,Online,L,12/13/2014,43,1077.58
Europe,France,Household,Online,M,1/23/2015,587,97283.51
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Online,H,5/31/2015,9276,889197.36
Asia,Bhutan,Beverages,Offline,L,6/17/2015,491,7689.06
Europe,Georgia,Personal Care,Online,H,9/23/2015,641,16063.46
Europe,Finland,Cosmetics,Online,M,01.04.2014,3171,551341.77
Europe,Netherlands,Personal Care,Online,L,10.01.2016,3553,89038.18
Europe,Vatican City,Snacks,Offline,H,07.07.2012,4292,236660.88
Europe,Cyprus,Snacks,Offline,C,8/30/2013,9924,547209.36
Australia and Oceania,Solomon Islands,Vegetables,Offline,C,09.05.2014,2017,127333.21
North America,Canada,Baby Food,Online,C,02.10.2011,4169,399640.34
Europe,Italy,Personal Care,Online,L,12.08.2010,7011,175695.66
Sub-Saharan Africa,Sierra Leone,Meat,Online,C,8/17/2015,3203,183211.60
Sub-Saharan Africa,Botswana,Office Supplies,Offline,L,05.08.2016,2438,307797.50
Europe,Kosovo,Personal Care,Offline,L,12.04.2012,6439,161361.34
Asia,Bhutan,Vegetables,Online,C,01.04.2010,3961,250057.93
Europe,Latvia,Beverages,Online,H,05.01.2013,5791,90687.06
Sub-Saharan Africa,Mauritius,Household,Offline,C,10.02.2010,9745,1615038.85
Europe,Monaco,Office Supplies,Online,M,11/30/2013,5673,716216.25
Sub-Saharan Africa,Lesotho,Vegetables,Online,M,08.06.2016,455,28724.15
Europe,Bosnia and Herzegovina,Fruits,Offline,L,8/22/2013,3001,7232.41
Sub-Saharan Africa,Namibia,Cosmetics,Online,M,4/24/2012,9253,1608819.11
Asia,Laos,Clothes,Offline,C,5/14/2013,7186,527739.84
Asia,Turkmenistan,Clothes,Offline,M,11.05.2014,1804,132485.76
Asia,Brunei,Clothes,Online,L,11.06.2015,144,10575.36
Asia,Sri Lanka,Vegetables,Online,L,10.01.2012,6273,396014.49
Sub-Saharan Africa,Central African Republic,Snacks,Offline,H,7/29/2010,6289,346775.46
Europe,Netherlands,Snacks,Offline,C,8/14/2011,3323,183230.22
Australia and Oceania,Australia,Meat,Offline,C,8/31/2011,2535,145002.00
Asia,Laos,Cosmetics,Offline,H,05.11.2011,6117,1063562.79
Sub-Saharan Africa,Djibouti,Beverages,Offline,M,5/25/2012,8295,129899.70
Asia,Vietnam,Snacks,Online,C,10.09.2013,322,17755.08
